"treefilename","psi","bias","birth","death","ntaxa"
"tree0.tre",-0.881640588981099,"FP",3.44929500152357,1,54
"tree1.tre",0.143620966351591,"FP",3.48618915351108,1,170
"tree2.tre",-0.360415959497914,"FP",4.5313766522333,1,118
"tree3.tre",0.966577187296934,"FP",4.44124387134798,1,148
"tree4.tre",0.266724631888792,"FP",4.82975431371015,1,129
"tree5.tre",-0.177566947299056,"FP",2.60967497078236,1,192
"tree6.tre",-0.567892109742388,"FP",2.76438139327802,1,100
"tree7.tre",-0.216557823936455,"FP",2.40338219807018,1,184
"tree8.tre",0.0607556368922815,"FP",1.61361453710124,1,65
"tree9.tre",-1.23552317300346,"FP",2.10190978539176,1,64
"tree10.tre",-0.242517596692778,"FP",2.15278227126691,1,161
"tree11.tre",-0.249654866405763,"FP",2.58170584742911,1,89
"tree12.tre",-0.697692009620368,"FP",1.22732261323836,1,51
"tree13.tre",0.220089429873042,"FP",4.75326666978654,1,77
"tree14.tre",-0.741918277111836,"FP",3.67613390069455,1,161
"tree15.tre",-0.657911415677518,"FP",3.56968332563993,1,136
"tree16.tre",-0.0333561873994768,"FP",2.56790534490719,1,130
"tree17.tre",0.0905803121859208,"FP",4.71843796898611,1,78
"tree18.tre",-1.47372748854104,"FP",1.58941432798747,1,127
"tree19.tre",-0.32826347660739,"FP",2.87319098415319,1,83
"tree20.tre",-1.09432312403806,"FP",3.49141939026304,1,190
"tree21.tre",-0.203793583554216,"FP",3.76336992566939,1,188
"tree22.tre",0.41423180163838,"FP",4.80838686460629,1,157
"tree23.tre",0.778395543107763,"FP",2.01435688277707,1,75
"tree24.tre",-0.516123852343298,"FP",3.8939880867023,1,52
"tree25.tre",0.330645614536479,"FP",4.76535548151005,1,118
"tree26.tre",-0.953914616606198,"FP",4.65580131912138,1,84
"tree27.tre",0.641951117664576,"FP",4.32515249371063,1,70
"tree28.tre",0.716867592651397,"FP",2.52180678504519,1,55
"tree29.tre",-0.444461313658394,"FP",1.86415308406577,1,145
"tree30.tre",-0.559926494956017,"FP",1.69512926845346,1,72
"tree31.tre",0.119103071279824,"FP",2.23502474997658,1,61
"tree32.tre",0.886628211243078,"FP",3.32296106261201,1,125
"tree33.tre",-0.741157516371459,"FP",3.61605238229968,1,69
"tree34.tre",-1.09538991679437,"FP",3.64870471579488,1,115
"tree35.tre",0.596096004825085,"FP",3.38945229116362,1,77
