"treefilename","strength","bias","birth","death"
"tree0.tre",-1.45669037743937,"FP",2,1
"tree1.tre",-1.02789891685825,"FP",2,1
"tree2.tre",0.821643551113084,"FP",2,1
"tree3.tre",-1.00051523337606,"FP",2,1
"tree4.tre",-0.0238323727389798,"FP",2,1
"tree5.tre",0.103760358993895,"FP",2,1
"tree6.tre",-0.316942620906048,"FP",2,1
"tree7.tre",0.979140758514404,"FP",2,1
"tree8.tre",0.129167568171397,"FP",2,1
"tree9.tre",-0.0260911897057667,"FP",2,1
"tree10.tre",-1.44851043913513,"FP",2,1
"tree11.tre",0.964111350127496,"FP",2,1
"tree12.tre",0.658943334943615,"FP",2,1
"tree13.tre",-1.45801274315454,"FP",2,1
"tree14.tre",0.382194054196589,"FP",2,1
"tree15.tre",-1.31146704114508,"FP",2,1
"tree16.tre",-1.48526641866192,"FP",2,1
"tree17.tre",-0.538232289603911,"FP",2,1
"tree18.tre",-0.272460545878857,"FP",2,1
"tree19.tre",0.591618868289515,"FP",2,1
"tree20.tre",-0.482956287218258,"FP",2,1
"tree21.tre",-0.427074317471124,"FP",2,1
"tree22.tre",-0.189446927164681,"FP",2,1
"tree23.tre",0.289998178137466,"FP",2,1
"tree24.tre",-0.010932574281469,"FP",2,1
"tree25.tre",-0.782650130335242,"FP",2,1
"tree26.tre",-0.752240288769826,"FP",2,1
"tree27.tre",-1.00650289480109,"FP",2,1
"tree28.tre",-1.12491327198222,"FP",2,1
"tree29.tre",-1.34164711087942,"FP",2,1
"tree30.tre",0.649771726108156,"FP",2,1
"tree31.tre",-0.631337316939607,"FP",2,1
"tree32.tre",-0.085753659135662,"FP",2,1
"tree33.tre",-1.39806997356936,"FP",2,1
"tree34.tre",-1.47792336216662,"FP",2,1
"tree35.tre",-0.70637778530363,"FP",2,1
"tree36.tre",0.366880045854487,"FP",2,1
"tree37.tre",-0.111651819664985,"FP",2,1
"tree38.tre",-0.988981938338839,"FP",2,1
"tree39.tre",-0.445228719385341,"FP",2,1
"tree40.tre",0.047680739313364,"FP",2,1
"tree41.tre",-1.35914542165119,"FP",2,1
"tree42.tre",0.615706338663585,"FP",2,1
"tree43.tre",0.191908225184307,"FP",2,1
"tree44.tre",-1.08198776177596,"FP",2,1
"tree45.tre",-0.512544141733088,"FP",2,1
"tree46.tre",-1.31289010611363,"FP",2,1
"tree47.tre",-0.249500325648114,"FP",2,1
"tree48.tre",0.397700199624524,"FP",2,1
"tree49.tre",0.824084996362217,"FP",2,1
"tree50.tre",-0.814118921756744,"FP",2,1
"tree51.tre",0.320803129230626,"FP",2,1
"tree52.tre",0.977164032752626,"FP",2,1
"tree53.tre",0.898606567294337,"FP",2,1
"tree54.tre",-1.04699283582158,"FP",2,1
"tree55.tre",0.522839560522698,"FP",2,1
"tree56.tre",-1.21418845409062,"FP",2,1
"tree57.tre",-0.0273429949302226,"FP",2,1
"tree58.tre",-0.836620206595398,"FP",2,1
"tree59.tre",-0.261292332783341,"FP",2,1
"tree60.tre",-1.38015995186288,"FP",2,1
"tree61.tre",0.354600320803002,"FP",2,1
"tree62.tre",-0.326007926254533,"FP",2,1
"tree63.tre",-0.838932683458552,"FP",2,1
"tree64.tre",0.527397116180509,"FP",2,1
"tree65.tre",-0.404100527870469,"FP",2,1
"tree66.tre",-0.0374330589547753,"FP",2,1
"tree67.tre",0.302527680411004,"FP",2,1
"tree68.tre",0.803869056631811,"FP",2,1
"tree69.tre",-0.261341153876856,"FP",2,1
"tree70.tre",-1.06436216773,"FP",2,1
"tree71.tre",-1.45584455144126,"FP",2,1
"tree72.tre",-0.931286950130016,"FP",2,1
"tree73.tre",-0.582432193681598,"FP",2,1
"tree74.tre",-1.49439525709022,"FP",2,1
"tree75.tre",0.353453527437523,"FP",2,1
"tree76.tre",-0.256306044524536,"FP",2,1
"tree77.tre",-0.868202925543301,"FP",2,1
"tree78.tre",0.678935313713737,"FP",2,1
"tree79.tre",-0.789137974265032,"FP",2,1
